id,projectId,applicationId,roundId,token,voter,grantAddress,amount,amountUSD,coefficient,status,last_score_timestamp,type,success,rawScore,threshold
0x85aa40116e15516273ba4aa80672071a7d551dd92223545523287b1743ca66cf,0xad56d803c2be49755c3e74705f1dbc6c03197fe10df1698bde59822fc89dea03,7,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0xb29050965a5ac70ab487aa47546cdcbc97dae45d,0x9D75F4EbcB8e7669E59dcc27CBadC698E0F77187,4201337000000000,6.91878578,1,DONE,2023-09-28T13:39:02.718817+00:00,ThresholdScoreCheck,true,50.697,20.00000
0xc60669096aebdde3aaad823555f9776264c0d28b803fafb5d88f037ef37f553c,0xad56d803c2be49755c3e74705f1dbc6c03197fe10df1698bde59822fc89dea03,7,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x5ffd23b1b0350debb17a2cb668929ac5f76d0e18,0x9D75F4EbcB8e7669E59dcc27CBadC698E0F77187,2000000000000000,3.29458269,1,DONE,2023-09-28T16:34:11.615333+00:00,ThresholdScoreCheck,true,34.356,20.00000
0x39ab171e47eb20618bc9778179ec0173d649f211b4dba33de12d0151259d410b,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0x84cd2c9770e986ff761cec264913dd4a9e0df17b,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,1500000000000000000,1.29199272,1,DONE,2023-10-03T10:09:51.531346+00:00,ThresholdScoreCheck,true,31.396,20.00000
0xdbedb163e528d0ec92e279d87bd94b6e5c83aa46c27775feaba7fab3602b8fc9,0x96eef6aa6ba663f9bd720296b11e32296ca264dd4edc58989fa868fc25a261f0,6,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0x84cd2c9770e986ff761cec264913dd4a9e0df17b,0x254b42CaCf7290e72e2C84c0337E36E645784Ce1,1500000000000000000,1.29199272,1,DONE,2023-10-03T10:09:51.531346+00:00,ThresholdScoreCheck,true,31.396,20.00000
0x93a87ed2699b268aa36fb3caa19c2404c6a6e3fccfa7b2f17e2a09be381787da,0xad56d803c2be49755c3e74705f1dbc6c03197fe10df1698bde59822fc89dea03,7,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0x5718870f4d257a525d5d208365ba27f7e46dd676,0x9D75F4EbcB8e7669E59dcc27CBadC698E0F77187,1250000000000000000,1.06712021,1,DONE,2023-09-18T04:47:08.967647+00:00,ThresholdScoreCheck,true,20.628,20.00000
0xc3fa931d13e68ab131c5ea7167f1ca203a6168f67e64b16978b2a7a97edaf2bf,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x6ecca4e20c548a126d852207d5e6ea95bbef1dcd,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,620000000000000,1.01380235,1,DONE,2023-09-20T06:06:37.220401+00:00,ThresholdScoreCheck,false,6.149,20.00000
0x614335cad3e559b8332def23ebcfc7fcab80a7ccec5a8fb10e4b41b37dcbd242,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x2433f77f39815849ede7959c7c43d876242cc4bc,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,700000000000000,1.14468373,1,DONE,2023-09-20T14:45:42.766260+00:00,ThresholdScoreCheck,true,24.236,20.00000
0xf6786272bccee76e1c4187ea1378987065e92b8ec2ba6545c9902e54bf2904f9,0xad56d803c2be49755c3e74705f1dbc6c03197fe10df1698bde59822fc89dea03,7,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x2433f77f39815849ede7959c7c43d876242cc4bc,0x9D75F4EbcB8e7669E59dcc27CBadC698E0F77187,700000000000000,1.14468373,1,DONE,2023-09-20T14:45:42.766260+00:00,ThresholdScoreCheck,true,24.236,20.00000
0xfbcf7efe7925ecb521d5691c4709cde068bbb20a929aeda92fe03e764fd3cad2,0x96eef6aa6ba663f9bd720296b11e32296ca264dd4edc58989fa868fc25a261f0,6,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x2433f77f39815849ede7959c7c43d876242cc4bc,0x254b42CaCf7290e72e2C84c0337E36E645784Ce1,700000000000000,1.14468373,1,DONE,2023-09-20T14:45:42.766260+00:00,ThresholdScoreCheck,true,24.236,20.00000
0xe044e239f374fb0950d0b3f4244e183ccfcf7fdfc5e3b0ba4b03c770c4a23ec0,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0x24975de5d41f36b17f225c2a9d6476296a2d0b0e,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,5000000000000000000,4.2578147,1,DONE,2023-09-20T08:55:06.574079+00:00,ThresholdScoreCheck,true,20.376,20.00000
0x756fade3da528b2188e3f1e7c41b69c9eb23b9a07dd8d98fa6cc632addf5830a,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0xa866cefcaa8383ce2446cdae49b7b8902f1ef628,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,1000000000000000,1.63791087,1,DONE,2023-09-12T20:27:47.552500+00:00,ThresholdScoreCheck,true,25.549,20.00000
0x412b9ca013ba3781c9063c3339a26848920a272d622deb22ebf0c0a990a5f2f0,0x96eef6aa6ba663f9bd720296b11e32296ca264dd4edc58989fa868fc25a261f0,6,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0xc0ac93abb5539769edac951d9ebd5bcbfb854b0f,0x254b42CaCf7290e72e2C84c0337E36E645784Ce1,10000000000000000000,8.4889245,1,DONE,2023-09-28T17:05:53.382785+00:00,ThresholdScoreCheck,false,0,20.00000
0x27256c91b16e98ef32e6e3e95a83780d910afd59d3649fcfeb7df87259cbd29b,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0x2fcd9a22b934e9498cc651ef31a51f278dcb3280,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,1500000000000000000,1.27724644,1,DONE,2023-09-28T18:12:45.722405+00:00,ThresholdScoreCheck,true,23.097,20.00000
0xd188f34b65816f93b3bbc3de2eff58257edc1dba5e7512ff86801f746007032c,0xad56d803c2be49755c3e74705f1dbc6c03197fe10df1698bde59822fc89dea03,7,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x0000000000000000000000000000000000000000,0x40a77bb6b57b2f0b13824dd3a03af7b92b377790,0x9D75F4EbcB8e7669E59dcc27CBadC698E0F77187,6500000000000000,10.54635713,1,DONE,2023-09-21T10:30:29.030276+00:00,ThresholdScoreCheck,true,28.836,20.00000
0xdf31b8c86183dac66bd085419a23aad74eb4dab11af9dd8e22909d19c09ce6bc,0x5b3a280583450ea78e6faf90bc00d861e7014973666eb5b8c549f9b318b8f12d,10,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,0x912CE59144191C1204E64559FE8253a0e49E6548,0xd33f357220fe1cd8786f222ef65c85cd2435f53c,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,1030000000000000000,0.87682918,0,DONE,2023-10-03T13:55:50.678902+00:00,ThresholdScoreCheck,true,20.026,20.00000
